Date,Open,High,Low,Close,Volume
2001-03-02,19.8938,21.7214,19.718,20.4574,77274813.512762
2001-03-05,20.8569,21.4615,20.5922,21.2036,47621005.769728
2001-03-06,22.0691,22.9531,21.9451,21.987,85083860.762516
2001-03-07,22.8613,23.5158,22.6816,22.9903,111307785.54835
2001-03-08,22.9903,23.5158,22.8183,23.211,88120775.828747
2001-03-09,21.0718,21.3736,20.2415,20.5501,136452658.97354
2001-03-12,19.8938,20.5082,19.2374,19.3712,85267954.409597
2001-03-13,19.718,20.4574,19.3712,20.4574,74501080.956146
2001-03-14,19.8107,20.8569,19.5431,20.2415,82299954.299799
2001-03-15,20.766,20.898,19.8498,19.8498,57999916.386235
2001-03-16,19.8498,20.2024,19.3272,19.462,83835030.680238
2001-03-19,19.1944,19.5431,17.7575,18.8906,109785892.8631
2001-03-20,19.1123,19.1523,17.1411,17.1841,92330019.100104
2001-03-21,17.274,18.6718,17.1841,17.8424,98522320.26393
2001-03-22,18.2331,20.1096,18.1482,20.0286,134719166.85442
2001-03-23,20.7211,20.766,19.3272,20.1096,121455765.4904
2001-03-26,20.5922,20.6303,19.462,19.7609,92311820.113511
2001-03-27,19.8107,20.7211,19.5861,20.5082,104097884.93187
2001-03-28,20.0286,20.4574,18.7138,18.8027,104319223.18329
2001-03-29,18.7636,19.2374,17.8835,18.5389,92914391.149675
2001-03-30,18.5809,18.6718,17.6656,18.3641,67918523.782739
2001-04-02,18.1922,18.7636,17.4927,18.0154,64355113.682578
2001-04-03,17.6656,18.4109,17.3667,17.4517,81620880.362743
2001-04-04,17.2358,17.5328,15.6651,15.7921,120690737.50523
2001-04-05,16.9272,18.0154,16.8363,17.8835,96668912.61943
2001-04-06,17.4927,17.6237,16.0529,16.4847,105939684.41363
2001-04-09,16.5365,16.8851,15.5313,16.1868,86705606.783783
2001-04-10,16.4037,17.5328,16.3186,17.274,79985375.305653
2001-04-11,19.462,19.8107,18.9775,19.1944,130837414.22908
2001-04-12,19.1523,19.8938,18.3641,19.6281,77389430.171367
2001-04-16,18.6718,18.8457,17.7975,18.3641,84957499.784049
2001-04-17,17.6237,18.6718,17.5856,18.1922,105219493.07221
2001-04-18,20.4183,22.4726,19.9748,21.8132,221807007.63851
2001-04-19,21.5074,22.6816,21.2476,22.6816,123023356.8066
2001-04-20,22.3348,22.7284,21.8132,22.6425,89355426.118975
2001-04-23,21.6842,21.8542,20.6771,21.1568,83804508.961934
2001-04-24,20.898,21.6842,20.1584,20.3275,71182367.732428
2001-04-25,20.2415,20.5082,19.1944,20.2415,92585309.61514
2001-04-26,21.1157,21.2036,19.9748,19.9748,76477832.623863
2001-04-27,20.6771,21.1157,20.2845,21.0718,61378802.869446
2001-04-30,21.5582,22.0691,21.2906,21.5953,59120814.052547
2001-05-01,21.4615,21.9451,21.024,21.7693,53311598.638861
2001-05-02,22.2528,22.6816,21.7693,22.2948,64503675.438638
2001-05-03,21.7214,21.7693,21.024,21.2036,53124784.920486
2001-05-04,20.8569,21.6842,20.4574,21.5582,50706341.585686
2001-05-07,21.6842,22.1219,21.1568,21.7693,48201651.413763
2001-05-08,21.987,22.2019,21.5582,21.987,59442157.153171
2001-05-09,21.6374,21.6374,20.4574,20.898,85393309.053823
2001-05-10,21.2906,21.3306,20.1584,20.2415,69953730.877946
2001-05-11,20.2415,20.4183,19.4083,19.503,68073102.045758
2001-05-14,19.5861,19.6281,18.6298,19.1523,60157763.173063
2001-05-15,19.2783,19.6281,18.8027,18.9775,67775119.617638
2001-05-16,18.8457,19.8938,18.4979,19.8107,83713107.605066
2001-05-17,20.0687,20.3743,19.5431,19.9748,80379783.595688
2001-05-18,19.8938,20.3275,19.5431,20.0687,49646183.305861
2001-05-21,19.8107,20.9399,19.6789,20.8569,62067758.947334
2001-05-22,21.0718,21.2476,20.5082,20.5922,55364861.397371
2001-05-23,20.5082,21.1157,19.9357,20.1096,75331295.44474
2001-05-24,20.1096,20.5082,19.6281,20.3743,67076274.232752
2001-05-25,20.5501,20.6303,20.0286,20.3275,41796315.535692
2001-05-29,20.2024,20.2415,19.3712,19.462,54153847.16511
2001-05-30,19.0634,19.3272,18.4109,18.5809,65772717.175995
2001-05-31,18.8457,19.2374,18.7138,18.8457,52774787.399277
2001-06-01,19.0225,20.2845,18.9775,20.0687,82334479.856578
2001-06-04,20.3275,20.5922,19.5861,19.8938,54133068.3593
2001-06-05,20.1584,20.898,20.1584,20.766,73803241.905502
2001-06-06,20.5501,21.4225,20.2845,20.8081,102945034.36183
2001-06-07,20.766,21.8132,20.7211,21.7693,103501334.49761
2001-06-08,22.2528,22.3348,20.9399,21.4225,93579856.540363
2001-06-11,21.0718,21.2906,20.5501,21.1568,57561387.045169
2001-06-12,20.7211,21.0718,20.2415,21.024,77094593.689457
2001-06-13,20.8569,21.024,20.2415,20.2845,57850345.224721
2001-06-14,19.9357,20.3275,19.2374,19.2783,59200040.095945
2001-06-15,19.0634,19.7609,18.9306,19.3272,75947906.02088
2001-06-18,19.462,19.9357,19.1523,19.2374,38973436.399259
2001-06-19,19.8938,20.1096,18.2331,18.6298,86245733.533649
2001-06-20,18.3641,19.3272,18.325,19.1944,61493126.739045
2001-06-21,19.1123,19.5861,18.8027,19.0225,62376203.975612
2001-06-22,19.1944,19.7609,19.0225,19.1944,43506317.991353
2001-06-25,19.5431,20.0286,19.1944,19.9357,40393323.851673
2001-06-26,19.5861,20.2845,19.5431,20.2415,48481017.170276
2001-06-27,20.2415,20.3743,19.8107,19.9748,48326297.631442
2001-06-28,20.4183,21.2906,20.3743,20.6771,76375553.029299
2001-06-29,20.8081,21.4615,20.0687,20.4183,62907856.600499
2001-07-02,20.6303,21.3306,20.3743,20.9849,55027472.230714
2001-07-03,20.898,21.4225,20.6771,21.2476,31697623.44927
2001-07-05,20.9849,21.6374,20.8081,20.8081,51028255.931994
2001-07-06,20.3275,20.8569,19.7609,19.8498,53338242.438438
2001-07-09,19.8938,20.5501,19.6281,20.1584,43171645.824776
2001-07-10,20.4183,20.5082,19.1523,19.4083,59114365.528244
2001-07-11,19.2783,19.8938,18.8457,19.5861,71201565.887099
2001-07-12,20.5082,21.0718,20.2845,21.024,69610903.616179
2001-07-13,20.9399,21.2036,20.4183,21.0718,61313331.76692
2001-07-16,20.9399,21.4615,20.0687,20.3275,93859647.148055
2001-07-17,19.9357,20.9399,19.5861,20.8569,145343197.15107
2001-07-18,20.1584,21.024,19.8938,20.1584,102360945.88763
2001-07-19,20.6303,21.1157,20.5501,20.898,75618250.169447
2001-07-20,20.5501,20.9399,20.2024,20.898,72270886.620094
2001-07-23,20.9399,21.1157,20.2024,20.2415,48767544.996327
2001-07-24,20.0286,20.6303,19.8498,20.1584,54330782.837602
2001-07-25,20.2415,20.5922,19.6789,20.5501,50607631.764777
2001-07-26,20.3275,20.8569,20.1096,20.766,66095489.414565
2001-07-27,20.6771,20.8569,20.2415,20.4183,50816363.709115
2001-07-30,20.5922,20.766,20.1096,20.2845,43687256.478582
2001-07-31,20.3743,21.2476,20.2415,20.8081,70585668.856194
2001-08-01,21.3736,21.6374,21.1157,21.4615,64314999.541234
2001-08-02,21.9451,22.5097,21.8542,22.4178,106097700.38814
2001-08-03,22.3797,22.3797,21.8132,22.1219,51080259.763966
2001-08-06,21.2476,21.4225,20.9849,21.1157,77314935.844009
2001-08-07,20.898,21.6374,20.766,21.3736,62540958.192208
2001-08-08,21.2036,21.7693,20.5082,20.6771,69920207.560458
2001-08-09,20.5922,20.9399,20.3743,20.6771,51075961.089009
2001-08-10,20.5922,21.0718,20.2415,20.898,48301219.126937
2001-08-13,21.4225,21.4615,20.9849,21.3306,44154582.539786
2001-08-14,21.4225,21.5582,21.1157,21.2036,39373860.172514
2001-08-15,21.1157,21.4615,20.7211,20.766,47776301.672934
2001-08-16,20.5501,21.0718,20.2845,21.0718,55345665.290176
2001-08-17,20.3743,20.5082,19.4083,19.5861,86415785.593279
2001-08-20,19.5861,20.0286,19.462,19.6789,52030959.999883
2001-08-21,18.8906,19.8938,18.8906,18.8906,49964806.335191
